Time(Ma);Diversity;;
0;4166;;
1;4166;;
2;4063;;
3;4063;;
4;3942;;
5;3942;;
6;3741;;
7;3741;;
8;3703;;
9;3703;;
10;3703;;
11;3703;;
12;3726;;
13;3726;;
14;3726;;
15;3726;;
16;3498;;
17;3498;;
18;3498;;
19;3498;;
20;3498;;
21;3240;;
22;3240;;
23;3240;;
24;3055;;
25;3055;;
26;3055;;
27;3055;;
28;3055;;
29;2869;;
30;2869;;
31;2869;;
32;2869;;
33;2869;;
34;2967;;
35;2967;;
36;2967;;
37;2967;;
38;2748;;
39;2748;;
40;2748;;
41;2572;;
42;2572;;
43;2572;;
44;2572;;
45;2572;;
46;2572;;
47;2572;;
48;2572;;
49;2262;;
50;2262;;
51;2262;;
52;2262;;
53;2262;;
54;2262;;
55;2262;;
56;1741;;
57;1741;;
58;1628;;
59;1628;;
60;1628;;
61;1446;;
62;1446;;
63;1365;;
64;1365;;
65;1365;;
66;1783;;
67;1783;;
68;1783;;
69;2013;;
70;2013;;
71;2004;;
72;2004;;
73;2004;;
74;2004;;
75;2004;;
76;2004;;
77;2004;;
78;1888;;
79;1888;;
80;1888;;
81;1888;;
82;1888;;
83;1888;;
84;1713;;
85;1651;;
86;1581;;
87;1581;;
88;1532;;
89;1532;;
90;1510;;
91;1510;;
92;1462;;
93;1462;;
94;1478;;
95;1478;;
96;1419;;
97;1419;;
98;1394;;
99;1394;;
100;1327;;
101;1327;;
102;1327;;
103;1327;;
104;1237;;
105;1237;;
106;1237;;
107;1237;;
108;1199;;
109;1199;;
110;1199;;
111;1199;;
112;1167;;
113;1167;;
114;1167;;
115;1167;;
116;1167;;
117;1167;;
118;1167;;
119;1143;;
120;1143;;
121;1143;;
122;1143;;
123;1143;;
124;1143;;
125;1068;;
126;1068;;
127;1068;;
128;1037;;
129;1037;;
130;997;;
131;997;;
132;997;;
133;997;;
134;982;;
135;982;;
136;982;;
137;967;;
138;967;;
139;934;;
140;934;;
141;900;;
142;900;;
143;886;;
144;886;;
145;886;;
146;989;;
147;989;;
148;989;;
149;1004;;
150;1004;;
151;1017;;
152;1017;;
153;1017;;
154;1024;;
155;1024;;
156;1026;;
157;1026;;
158;970;;
159;970;;
160;974;;
161;974;;
162;942;;
163;933;;
164;931;;
165;922;;
166;871;;
167;853;;
168;844;;
169;844;;
170;783;;
171;783;;
172;715;;
173;715;;
174;715;;
175;715;;
176;649;;
177;649;;
178;649;;
179;649;;
180;661;;
181;661;;
182;661;;
183;661;;
184;661;;
185;661;;
186;661;;
187;628;;
188;628;;
189;628;;
190;575;;
191;575;;
192;575;;
193;575;;
194;507;;
195;507;;
196;507;;
197;452;;
198;452;;
199;409;;
200;513;;
201;513;;
202;513;;
203;513;;
204;573;;
205;573;;
206;573;;
207;573;;
208;596;;
209;596;;
210;596;;
211;596;;
212;596;;
213;615;;
214;615;;
215;615;;
216;615;;
217;629;;
218;629;;
219;629;;
220;629;;
221;629;;
222;629;;
223;622;;
224;622;;
225;622;;
226;622;;
227;622;;
228;575;;
229;575;;
230;575;;
231;575;;
232;575;;
233;489;;
234;489;;
235;489;;
236;489;;
237;434;;
238;434;;
239;434;;
240;385;;
241;385;;
242;385;;
243;330;;
244;330;;
245;282;;
246;282;;
247;282;;
248;237;;
249;237;;
250;209;;
251;424;;
252;424;;
253;424;;
254;576;;
255;576;;
256;576;;
257;576;;
258;576;;
259;576;;
260;576;;
261;837;;
262;837;;
263;837;;
264;837;;
265;837;;
266;932;;
267;932;;
268;932;;
269;932;;
270;932;;
271;965;;
272;965;;
273;965;;
274;965;;
275;965;;
276;929;;
277;929;;
278;929;;
279;929;;
280;900;;
281;900;;
282;900;;
283;900;;
284;900;;
285;909;;
286;909;;
287;909;;
288;909;;
289;909;;
290;858;;
291;858;;
292;858;;
293;858;;
294;858;;
295;816;;
296;816;;
297;783;;
298;783;;
299;834;;
300;834;;
301;834;;
302;834;;
303;834;;
304;847;;
305;847;;
306;847;;
307;879;;
308;879;;
309;879;;
310;847;;
311;847;;
312;804;;
313;804;;
314;804;;
315;774;;
316;774;;
317;774;;
318;774;;
319;768;;
320;768;;
321;768;;
322;768;;
323;948;;
324;948;;
325;948;;
326;948;;
327;1044;;
328;1044;;
329;1044;;
330;1044;;
331;1044;;
332;1044;;
333;1044;;
334;1044;;
335;1044;;
336;1004;;
337;1004;;
338;1004;;
339;1004;;
340;1004;;
341;1004;;
342;1004;;
343;1004;;
344;1004;;
345;1004;;
346;933;;
347;933;;
348;933;;
349;933;;
350;933;;
351;933;;
352;933;;
353;802;;
354;802;;
355;802;;
356;802;;
357;802;;
358;802;;
359;802;;
360;716;;
361;716;;
362;716;;
363;716;;
364;716;;
365;676;;
366;676;;
367;676;;
368;676;;
369;676;;
370;653;;
371;653;;
372;653;;
373;653;;
374;653;;
375;765;;
376;765;;
377;765;;
378;765;;
379;831;;
380;831;;
381;831;;
382;879;;
383;879;;
384;879;;
385;879;;
386;1030;;
387;1030;;
388;1030;;
389;1109;;
390;1109;;
391;1109;;
392;1194;;
393;1194;;
394;1194;;
395;1220;;
396;1220;;
397;1220;;
398;1248;;
399;1248;;
400;1248;;
401;1248;;
402;1248;;
403;1208;;
404;1208;;
405;1208;;
406;1208;;
407;1076;;
408;1076;;
409;1076;;
410;1007;;
411;1007;;
412;962;;
413;962;;
414;919;;
415;919;;
416;950;;
417;950;;
418;950;;
419;1026;;
420;1026;;
421;1026;;
422;1093;;
423;1108;;
424;1108;;
425;1108;;
426;1108;;
427;1048;;
428;1048;;
429;926;;
430;926;;
431;926;;
432;926;;
433;926;;
434;926;;
435;926;;
436;801;;
437;801;;
438;801;;
439;727;;
440;727;;
441;727;;
442;727;;
443;727;;
444;848;;
445;848;;
446;1171;;
447;1171;;
448;1198;;
449;1243;;
450;1243;;
451;1243;;
452;1243;;
453;1278;;
454;1278;;
455;1278;;
456;1278;;
457;1245;;
458;1245;;
459;1245;;
460;1245;;
461;1051;;
462;1051;;
463;930;;
464;816;;
465;816;;
466;816;;
467;816;;
468;764;;
469;764;;
470;764;;
471;764;;
472;678;;
473;678;;
474;678;;
475;678;;
476;439;;
477;439;;
478;439;;
479;318;;
480;318;;
481;318;;
482;318;;
483;318;;
484;265;;
485;265;;
486;265;;
487;265;;
488;265;;
489;220;;
490;220;;
491;206;;
492;206;;
493;191;;
494;191;;
495;177;;
496;177;;
497;171;;
498;171;;
499;183;;
500;183;;
501;216;;
502;216;;
503;202;;
504;220;;
505;246;;
506;246;;
507;235;;
508;235;;
509;232;;
510;232;;
511;232;;
512;232;;
513;239;;
514;239;;
515;239;;
516;236;;
517;236;;
518;236;;
519;361;;
520;361;;
521;361;;
522;437;;
523;437;;
524;344;;
525;344;;
526;344;;
527;195;;
528;195;;
529;195;;
530;140;;
531;140;;
532;99;;
533;99;;
534;47;;
535;47;;
536;47;;
537;47;;
538;16;;
539;16;;
540;16;;
541;16;;